|AAAAAAAAAAAAAAA|COMMON|Active|DiIPnSJHqplAHTPKTGIhStBRNgEpVZYuRSRDlerURQYDcFPMaJ|NASDAQ|5067|652346051|1905-06-09|1966-02-28|1.85|0|0|1967-04-25 11:48:14|1967-05-03 00:39:53
|AAAAAAAAAAAAAAQ|COMMON|Active|VDlgRzzJUFTdNJSVhKMWzLMdlkyDBxkabuJoQbnPE|NASDAQ|5067|726363817|1867-10-31|1960-10-27|2.87|0|0|1967-05-03 00:39:53|1968-09-20 09:06:35
|AAAAAAAAAAAAAJR|COMMON|Active|GpJBKVqMeCUJxwbfoSSSCQGRDOpdxdGPSGWUvZLcSfymwJnaBxZ KTMBcFIRfOLUcNV|PCX|5067|329897871|1938-10-19|1908-01-29|2.73|0|0|1968-09-20 09:06:35|1968-12-17 03:05:00
|AAAAAAAAAAAAAKL|COMMON|Active|riJLmViBtkoGHoLNeemCHFACLQYzRULEgZxYzTWrMQSQZJToTOcNyIDJQ|AMEX|5067|198973895|1895-04-10|1895-09-18|2.26|0|0|1968-12-17 03:05:00|1969-03-20 15:41:52
|AAAAAAAAAAAAALB|COMMON|Active|TcZRYAHwoMxhzaYjfaYRnlMnCFJxvRCEBxtSVudCqYhaGFNnDiEfORbLZfBc|NASDAQ|5067|6947733|1950-05-24|1953-11-17|2.61|0|0|1969-03-20 15:41:52|1973-09-28 12:03:00
|AAAAAAAAAAAAAXD|COMMON|Active|im IYHSkPlsbAHiREEUKzoHbfXvWXeOZEKOjgtDCPPPgICUnMQhYRwHOK|PCX|5067|566400613|1936-03-07|1903-10-29|0.68|0|0|1973-09-28 12:03:00|1974-06-24 13:12:19
|AAAAAAAAAAAAALB|COMMON|Inactive|TcZRYAHwoMxhzaYjfaYRnlMnCFJxvRCEBxtSVudCqYhaGFNnDiEfORbLZfBc|NASDAQ|5067|6947733|1954-11-11|1958-07-03|2.61|0|0|1974-06-24 13:12:19|1988-09-28 11:08:42
|AAAAAAAAAAAACJX|COMMON|Active|nVhRByzGPwxPuUPCueJgmiEsckNMLRNIKYCdjRlszIFucETJSTxWowxDolZC|NASDAQ|5067|767956028|1878-05-29|1976-02-14|1.55|0|0|1988-09-28 11:08:42|2003-12-31 23:59:58
|AAAAAAAAAAAAAKL|COMMON|Inactive|riJLmViBtkoGHoLNeemCHFACLQYzRULEgZxYzTWrMQSQZJToTOcNyIDJQ|AMEX|5067|198973895|1908-09-21|1909-04-17|2.26|1|0|2003-12-31 23:59:58|9999-12-31
|AAAAAAAAAAAAAAB|COMMON|Active|hLGaxijgkBZAvvYVHVMmOFN fMsFAbbAYlYRHEeYVAkDrIhJMkgIDB|NYSE|5139|720090211|1871-10-29|1949-06-10|0.51|0|0|1967-04-26 02:01:08|1967-06-03 06:28:49
|AAAAAAAAAAAAADT|COMMON|Active|poKLUquomlaARAwuViNA AFoeSGEKYy UDSCAfWLtkiTEWQIPEMzngXHMixPilJJEvqnjT|AMEX|5139|139458738|1913-03-31|1932-12-05|0.46|0|0|1967-06-03 06:28:49|1967-06-19 15:41:12
|AAAAAAAAAAAAAFO|COMMON|Active|QkKRzMwqwSfORKJVroIgFjxEpVOxKgYAwEbrY|NYSE|5139|447949447|1881-08-17|1868-06-02|2.09|0|0|1967-06-19 15:41:12|1967-06-25 21:54:41
|AAAAAAAAAAAAAGI|COMMON|Active|Oq iVEsYrpYwKPzIOqMKYBigWxuQzvuKFzHFRXMMBgVFTQokMQNJDMGOIbfWqmqHH|PCX|5139|892533889|1858-02-09|1920-11-15|2.76|0|0|1967-06-25 21:54:41|1968-03-30 16:18:40
|AAAAAAAAAAAAAAB|COMMON|Inactive|hLGaxijgkBZAvvYVHVMmOFN fMsFAbbAYlYRHEeYVAkDrIhJMkgIDB|NYSE|5139|720090211|1871-12-31|1950-03-27|0.51|0|0|1968-03-30 16:18:40|1969-06-26 22:04:12
|AAAAAAAAAAAAALY|COMMON|Active|iNKzgwDZhCQqDm jqFOkzhejHLRmSEJN|PCX|5140|453543932|1903-09-21|1883-05-12|1.03|0|0|1969-06-26 22:04:12|1970-12-19 18:01:10
|AAAAAAAAAAAAAEB|COMMON|Active|keIalILrHNCdkNIPdzqvRJebCVnZpLwGR|NASDAQ|5140|58483939|1928-09-18|1952-07-23|2.81|0|0|1970-12-19 18:01:10|1981-12-27 11:20:54
|AAAAAAAAAAAABSQ|COMMON|Active|bSRQmWNtaVDtHyLSRNJMUWIue|NYSE|5140|377915736|1962-05-18|1889-03-23|1.38|0|0|1981-12-27 11:20:54|1995-06-29 02:11:31
|AAAAAAAAAAAADBX|COMMON|Active|NgNoRCKlqCn|NASDAQ|5140|436095145|1933-05-04|1909-08-13|1.41|1|0|1995-06-29 02:11:31|9999-12-31
|AAAAAAAAAAAAAAC|PREF_A|Active|UilVUTKRECLSDpP DaKlJUMCQMeiZFugwSvUCGkEEiTI|NASDAQ|5079|999528317|1916-12-17|1854-11-12|1.73|0|0|1967-04-26 13:17:18|1968-06-18 03:56:09
